epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,7817.3,1.4496,1.65544,1.93414,0.65494,0.22156,0.24882,0.15537,1.52849,1.6822,2.06557,0.000778233,0.000778233,0.000778233
140,7921.33,1.55852,1.70849,1.95225,0.58249,0.12454,0.16373,0.10521,1.43129,1.79344,2.04132,0.000773518,0.000773518,0.000773518
141,8039.93,1.50651,1.76478,1.95109,0.58713,0.10073,0.11574,0.07388,1.48929,1.97727,2.10654,0.000768802,0.000768802,0.000768802
142,8153.1,1.50236,1.67966,1.94583,0.58643,0.12454,0.11873,0.07965,1.67278,1.93481,2.23432,0.000764086,0.000764086,0.000764086
143,8255.35,1.45399,1.67041,1.89335,0.48901,0.15018,0.14197,0.10219,1.61762,1.83268,2.12243,0.000759371,0.000759371,0.000759371
144,8365.94,1.44608,1.65972,1.85684,0.4833,0.12637,0.14498,0.10023,1.6077,1.92279,2.12914,0.000754655,0.000754655,0.000754655
145,8476.58,1.46707,1.73263,1.9091,0.50642,0.12637,0.14125,0.10006,1.54475,1.91314,2.09817,0.000749939,0.000749939,0.000749939
146,8596.52,1.39749,1.63376,1.8718,0.329,0.09454,0.12406,0.08466,1.47541,1.60353,1.99862,0.000745223,0.000745223,0.000745223
147,8712.13,1.42531,1.63014,1.8533,0.60442,0.12397,0.13997,0.10127,1.50945,1.47782,2.07631,0.000740508,0.000740508,0.000740508
148,8827.57,1.32642,1.61416,1.78407,0.51161,0.12454,0.1293,0.08023,1.69815,1.71669,2.2481,0.000735792,0.000735792,0.000735792
149,8932.55,1.3916,1.58814,1.82959,0.44353,0.12637,0.12782,0.08389,1.60119,1.59283,2.1414,0.000731076,0.000731076,0.000731076
150,9032.05,1.44913,1.64723,1.87502,0.7304,0.0989,0.11741,0.07878,1.53067,1.79408,2.13217,0.000726361,0.000726361,0.000726361
151,9130.25,1.41212,1.59271,1.8681,0.84969,0.07509,0.09255,0.05431,1.58967,1.75975,2.1697,0.000721645,0.000721645,0.000721645
152,9210.72,1.37874,1.5783,1.84554,0.60127,0.0989,0.12113,0.07964,1.53725,1.59141,2.09806,0.000716929,0.000716929,0.000716929
153,9300.17,1.39758,1.55466,1.84648,0.61583,0.12454,0.14321,0.09495,1.52587,1.57893,2.0495,0.000712214,0.000712214,0.000712214
